"ID";"RegioS";"Perioden";"HuurverhogingInclusiefHuurharmonisatie_1";"HuurverhogingExclusiefHuurharmonisatie_2"
"0";"NL01  ";"2015JJ00";"     2.4";"     1.9"
"1";"NL01  ";"2016JJ00";"     1.9";"     1.4"
"2";"NL01  ";"2017JJ00";"     1.6";"     1.2"
"3";"LD01  ";"2015JJ00";"     2.5";"     1.7"
"4";"LD01  ";"2016JJ00";"     1.4";"     1.0"
"5";"LD01  ";"2017JJ00";"     1.2";"     0.8"
"6";"LD02  ";"2015JJ00";"     2.3";"     1.9"
"7";"LD02  ";"2016JJ00";"     1.7";"     1.3"
"8";"LD02  ";"2017JJ00";"     1.3";"     1.0"
"9";"LD03  ";"2015JJ00";"     2.5";"     2.0"
"10";"LD03  ";"2016JJ00";"     2.1";"     1.5"
"11";"LD03  ";"2017JJ00";"     1.8";"     1.3"
"12";"LD04  ";"2015JJ00";"     2.2";"     1.8"
"13";"LD04  ";"2016JJ00";"     1.7";"     1.3"
"14";"LD04  ";"2017JJ00";"     1.6";"     1.2"
"15";"PV20  ";"2015JJ00";"     2.8";"     1.9"
"16";"PV20  ";"2016JJ00";"     1.5";"     1.0"
"17";"PV20  ";"2017JJ00";"     1.1";"     0.8"
"18";"PV21  ";"2015JJ00";"     2.5";"     1.7"
"19";"PV21  ";"2016JJ00";"     1.6";"     1.1"
"20";"PV21  ";"2017JJ00";"     1.3";"     0.9"
"21";"PV22  ";"2015JJ00";"     1.8";"     1.5"
"22";"PV22  ";"2016JJ00";"     1.2";"     0.9"
"23";"PV22  ";"2017JJ00";"     1.1";"     0.7"
"24";"PV23  ";"2015JJ00";"     2.2";"     1.6"
"25";"PV23  ";"2016JJ00";"     1.9";"     1.3"
"26";"PV23  ";"2017JJ00";"     1.5";"     1.0"
"27";"PV24  ";"2015JJ00";"     2.3";"     2.1"
"28";"PV24  ";"2016JJ00";"     1.6";"     1.6"
"29";"PV24  ";"2017JJ00";"     1.3";"     1.2"
"30";"PV25  ";"2015JJ00";"     2.4";"     1.9"
"31";"PV25  ";"2016JJ00";"     1.6";"     1.3"
"32";"PV25  ";"2017JJ00";"     1.1";"     0.9"
"33";"PV26  ";"2015JJ00";"     2.4";"     2.2"
"34";"PV26  ";"2016JJ00";"     1.5";"     1.4"
"35";"PV26  ";"2017JJ00";"     1.3";"     1.0"
"36";"PV27  ";"2015JJ00";"     2.6";"     2.1"
"37";"PV27  ";"2016JJ00";"     2.4";"     1.6"
"38";"PV27  ";"2017JJ00";"     2.0";"     1.4"
"39";"PV28  ";"2015JJ00";"     2.4";"     1.9"
"40";"PV28  ";"2016JJ00";"     1.9";"     1.4"
"41";"PV28  ";"2017JJ00";"     1.8";"     1.3"
"42";"PV29  ";"2015JJ00";"     2.5";"     1.7"
"43";"PV29  ";"2016JJ00";"     1.7";"     1.1"
"44";"PV29  ";"2017JJ00";"     1.4";"     1.0"
"45";"PV30  ";"2015JJ00";"     2.2";"     1.8"
"46";"PV30  ";"2016JJ00";"     1.8";"     1.3"
"47";"PV30  ";"2017JJ00";"     1.5";"     1.1"
"48";"PV31  ";"2015JJ00";"     2.0";"     1.7"
"49";"PV31  ";"2016JJ00";"     1.6";"     1.4"
"50";"PV31  ";"2017JJ00";"     1.6";"     1.3"
"51";"GM0363";"2015JJ00";"     3.1";"     2.2"
"52";"GM0363";"2016JJ00";"     2.9";"     1.7"
"53";"GM0363";"2017JJ00";"     2.5";"     1.5"
"54";"GM0518";"2015JJ00";"     2.1";"     1.8"
"55";"GM0518";"2016JJ00";"     2.1";"     1.4"
"56";"GM0518";"2017JJ00";"     1.7";"     1.6"
"57";"GM0599";"2015JJ00";"     2.8";"     2.2"
"58";"GM0599";"2016JJ00";"     2.2";"     1.3"
"59";"GM0599";"2017JJ00";"     1.8";"     1.3"
"60";"GM0344";"2015JJ00";"     2.4";"     2.0"
"61";"GM0344";"2016JJ00";"     1.5";"     1.1"
"62";"GM0344";"2017JJ00";"     1.3";"     1.0"
